iter	Passed	Remaining
399	682	1023
400	684	1021
401	685	1020
402	687	1018
403	688	1015
404	690	1014
405	692	1012
406	693	1010
407	695	1009
408	697	1007
409	699	1006
410	701	1004
411	702	1002
412	704	1001
413	706	999
414	707	997
415	709	996
416	711	994
417	712	992
418	714	990
419	716	989
420	718	987
421	719	986
422	721	983
423	722	982
424	724	980
425	726	978
426	727	976
427	729	975
428	731	973
429	733	971
430	734	970
431	736	968
432	738	966
433	739	964
434	740	962
435	742	960
436	744	958
437	746	957
438	747	954
439	748	952
440	750	950
441	751	948
442	752	946
443	754	945
444	756	943
445	758	941
446	759	939
447	761	938
448	763	936
449	765	935
450	766	933
451	768	931
452	769	929
453	771	927
454	773	926
455	775	924
456	776	923
457	778	921
458	780	919
459	782	918
460	783	916
461	785	914
462	787	913
463	788	911
464	790	909
465	792	908
466	794	906
467	795	904
468	797	903
469	799	901
470	800	899
471	802	897
472	804	896
473	805	894
474	807	892
475	809	890
476	811	889
477	812	887
478	814	885
479	816	884
480	817	882
481	819	880
482	821	878
483	822	877
484	824	875
485	826	873
486	827	871
487	829	870
488	831	868
489	832	866
490	834	865
491	836	863
492	838	862
493	840	860
494	841	858
495	843	857
496	845	855
497	847	853
498	848	851
499	850	850
500	852	848
501	853	847
502	855	845
503	857	844
504	859	842
505	861	841
506	863	839
507	864	837
508	866	836
509	868	834
510	869	832
511	871	830
512	873	829
513	875	828
514	877	826
515	879	824
516	880	822
517	882	820
518	884	819
519	885	817
520	887	816
521	889	814
522	891	812
523	892	811
524	894	809
525	896	807
526	897	805
527	899	803
528	900	801
529	902	800
530	904	798
531	905	796
532	906	794
533	908	792
534	909	790
535	911	789
536	913	787
537	914	785
538	916	784
539	918	782
540	920	780
541	922	779
542	923	777
543	925	775
544	927	774
545	929	772
546	930	770
547	932	769
548	934	767
549	935	765
550	937	764
551	939	762
552	941	760
553	942	759
554	944	757
555	946	755
556	948	754
557	950	752
558	952	751
559	954	749
560	955	748
561	957	746
562	959	744
563	961	743
564	963	741
565	964	739
566	966	737
567	967	735
568	968	733
569	970	732
570	972	730
571	973	728
572	975	726
573	977	725
574	978	723
575	980	721
576	982	720
577	984	718
578	986	717
579	988	715
580	989	713
581	992	712
582	993	710
583	995	709
584	997	707
585	999	706
586	1000	704
587	1002	702
588	1004	701
589	1006	699
590	1008	697
591	1009	695
592	1011	694
593	1013	692
594	1015	690
595	1016	689
596	1018	687
597	1019	685
598	1021	683
599	1023	682
600	1024	680
601	1026	678
602	1028	676
603	1029	675
604	1031	673
605	1033	671
606	1035	670
607	1036	668
608	1038	666
609	1040	665
610	1042	663
611	1043	661
612	1044	659
613	1046	658
614	1048	656
615	1050	654
616	1052	653
617	1053	651
618	1055	649
619	1057	648
620	1059	646
621	1060	644
622	1062	643
623	1064	641
624	1066	639
625	1068	638
626	1069	636
627	1071	634
628	1073	633
629	1075	631
630	1076	629
631	1078	628
632	1080	626
633	1082	624
634	1084	623
635	1085	621
636	1087	619
637	1089	618
638	1090	616
639	1092	614
640	1094	613
641	1096	611
642	1098	609
643	1100	608
644	1101	606
645	1103	604
646	1105	603
647	1106	601
648	1108	599
649	1109	597
650	1111	595
651	1113	594
652	1115	592
653	1116	590
654	1118	589
655	1120	587
656	1121	585
657	1123	584
658	1125	582
659	1127	580
660	1128	578
661	1130	577
662	1132	575
663	1133	573
664	1135	572
665	1136	570
666	1138	568
667	1140	566
668	1142	565
669	1144	563
670	1145	561
671	1146	559
672	1148	558
673	1150	556
674	1152	554
675	1153	553
676	1155	551
677	1157	549
678	1158	547
679	1159	545
680	1161	544
681	1163	542
682	1165	540
683	1167	539
684	1168	537
685	1170	535
686	1172	534
687	1175	533
688	1178	531
689	1180	530
690	1182	528
691	1184	527
692	1186	525
693	1188	523
694	1190	522
695	1191	520
696	1192	518
697	1194	516
698	1196	515
699	1197	513
700	1199	511
701	1200	509
702	1202	508
703	1204	506
704	1206	504
705	1207	502
706	1209	501
707	1211	499
708	1212	497
709	1214	496
710	1216	494
711	1217	492
712	1219	490
713	1220	488
714	1222	487
715	1224	485
716	1225	483
717	1227	482
718	1229	480
719	1231	478
720	1232	477
721	1234	475
722	1236	473
723	1237	471
724	1239	470
725	1240	468
726	1242	466
727	1244	464
728	1245	462
729	1246	461
730	1248	459
731	1250	457
732	1252	456
733	1254	454
734	1256	452
735	1257	451
736	1259	449
737	1261	447
738	1263	446
739	1264	444
740	1266	442
741	1268	441
742	1270	439
743	1272	437
744	1274	436
745	1276	434
746	1278	433
747	1280	431
748	1282	429
749	1284	428
750	1286	426
751	1288	425
752	1290	423
753	1292	421
754	1294	420
755	1296	418
756	1298	416
757	1300	415
758	1302	413
759	1304	411
760	1306	410
761	1308	408
762	1310	407
763	1312	405
764	1315	404
765	1317	402
766	1319	400
767	1321	399
768	1323	397
769	1325	395
770	1327	394
771	1329	392
772	1331	390
773	1333	389
774	1336	387
775	1337	386
776	1340	384
777	1342	383
778	1344	381
779	1347	379
780	1348	378
781	1350	376
782	1352	374
783	1354	373
784	1356	371
785	1358	369
786	1360	368
787	1361	366
788	1363	364
789	1365	362
790	1366	361
791	1368	359
792	1370	357
793	1372	356
794	1374	354
795	1376	352
796	1378	351
797	1380	349
798	1382	347
799	1384	346
800	1385	344
801	1387	342
802	1389	340
803	1391	339
804	1393	337
805	1395	335
806	1397	334
807	1399	332
808	1401	330
809	1403	329
810	1405	327
811	1407	325
812	1409	324
813	1411	322
814	1413	320
815	1415	319
816	1417	317
817	1419	315
818	1421	314
819	1423	312
820	1425	310
821	1427	309
822	1428	307
823	1430	305
824	1432	303
825	1434	302
826	1436	300
827	1437	298
828	1438	296
829	1440	295
830	1443	293
831	1445	291
832	1447	290
833	1449	288
834	1451	286
835	1452	284
836	1454	283
837	1456	281
838	1458	279
839	1459	278
840	1461	276
841	1463	274
842	1465	272
843	1467	271
844	1469	269
845	1470	267
846	1472	265
847	1474	264
848	1476	262
849	1478	260
850	1479	259
851	1481	257
852	1483	255
853	1484	253
854	1486	252
855	1488	250
856	1490	248
857	1492	247
858	1494	245
859	1496	243
860	1497	241
861	1500	240
862	1501	238
863	1503	236
864	1505	234
865	1506	233
866	1508	231
867	1509	229
868	1511	227
869	1513	226
870	1515	224
871	1516	222
872	1518	220
873	1520	219
874	1522	217
875	1523	215
876	1525	213
877	1527	212
878	1528	210
879	1530	208
880	1532	206
881	1534	205
882	1535	203
883	1537	201
884	1539	200
885	1541	198
886	1542	196
887	1544	194
888	1546	193
889	1548	191
890	1549	189
891	1551	187
892	1553	186
893	1555	184
894	1556	182
895	1558	180
896	1559	179
897	1561	177
898	1563	175
899	1565	173
900	1566	172
901	1568	170
902	1569	168
903	1571	166
904	1573	165
905	1574	163
906	1576	161
907	1578	159
908	1580	158
909	1581	156
910	1583	154
911	1585	152
912	1586	151
913	1588	149
914	1590	147
915	1592	146
916	1593	144
917	1595	142
918	1597	140
919	1598	139
920	1600	137
921	1602	135
922	1604	133
923	1605	132
924	1607	130
925	1609	128
926	1610	126
927	1612	125
928	1614	123
929	1616	121
930	1617	119
931	1619	118
932	1621	116
933	1623	114
934	1624	112
935	1626	111
936	1628	109
937	1630	107
938	1631	106
939	1633	104
940	1635	102
941	1636	100
942	1639	99
943	1641	97
944	1642	95
945	1644	93
946	1646	92
947	1648	90
948	1650	88
949	1651	86
950	1653	85
951	1655	83
952	1657	81
953	1658	79
954	1660	78
955	1662	76
956	1665	74
957	1667	73
958	1669	71
959	1671	69
960	1673	67
961	1674	66
962	1676	64
963	1678	62
964	1680	60
965	1682	59
966	1683	57
967	1685	55
968	1686	53
969	1688	52
970	1690	50
971	1691	48
972	1693	46
973	1695	45
974	1697	43
975	1699	41
976	1701	40
977	1703	38
978	1704	36
979	1706	34
980	1708	33
981	1710	31
982	1712	29
983	1713	27
984	1715	26
985	1717	24
986	1719	22
987	1721	20
988	1723	19
989	1724	17
990	1726	15
991	1728	13
992	1730	12
993	1731	10
994	1733	8
995	1735	6
996	1737	5
997	1738	3
998	1740	1
999	1742	0
